ac_number_2021,constituency_2021,region_2021,reserved_2021,valid_votes_2021,n_candidates_2021,winner_2021,winner_party_2021,winner_party_norm_2021,winner_votes_2021,winner_share_pct_2021,runner_up_2021,runner_up_party_norm_2021,runner_up_votes_2021,margin_pct_2021,turnout_pct_2021,ac_number_2026,constituency_2026,region_2026,reserved_2026,valid_votes_2026,n_candidates_2026,winner_2026,winner_party_2026,winner_party_norm_2026,winner_votes_2026,winner_share_pct_2026,runner_up_2026,runner_up_party_norm_2026,runner_up_votes_2026,margin_pct_2026,ac_number,flip_raw,flip_norm,margin_delta,constituency,district,region,reserved,turnout_pct_2026
15,Thiru-Vi-Ka-Nagar,Chennai Metro,SC,132650,23,SIVAKUMAR.P,DMK,DMK,81727,61.61,KALYANI.P.L,AIADMK,26714,41.47,60.62,15,Thiru-Vi-Ka-Nagar,Chennai Metro,SC,143376,23,M. R. PALLAVI,TVK,TVK,69125,48.21,K. S. RAVICHANDRAN,DMK,46792,15.58,15,True,True,-25.89,Thiru-Vi-Ka-Nagar,Chennai,Chennai Metro,SC,
16,Egmore,Chennai Metro,SC,118095,18,I.PARANTHAMEN,DMK,DMK,68832,58.29,B.JOHN PANDIAN,AIADMK,30064,32.83,61.13,16,Egmore,Chennai Metro,SC,119043,18,RAJMOHAN,TVK,TVK,53901,45.28,TAMILAN PRASANNA,DMK,43097,9.08,16,True,True,-23.75,Egmore,Chennai,Chennai Metro,SC,
17,Royapuram,Chennai Metro,GEN,120290,26,MURTHY.R.IDREAM,DMK,DMK,64424,53.56,JAYAKUMAR.D,AIADMK,36645,23.09,62.6,17,Royapuram,Chennai Metro,GEN,126897,28,K.V. VIJAY DAMU,TVK,TVK,59091,46.57,DR. A. SUBAIR KHAN,DMK,44842,11.23,17,True,True,-11.86,Royapuram,Chennai,Chennai Metro,GEN,
18,Harbour,Chennai Metro,GEN,100738,28,SEKARBABU. P.K,DMK,DMK,59317,58.88,VINOJ. P. SELVAM,BJP,32043,27.07,57.64,18,Harbour,Chennai Metro,GEN,99022,23,P K SEKARBABU,DMK,DMK,45254,45.7,SINORA P S ASHOK,TVK,33504,11.87,18,False,False,-15.200000000000001,Harbour,Chennai,Chennai Metro,GEN,
19,Chepauk-Thiruvallikeni,Chennai Metro,GEN,135344,26,UDHAYANIDHI STALIN,DMK,DMK,93285,68.92,KASSALI A.V.A,PMK,23930,51.24,58.33,19,Chepauk-Thiruvallikeni,Chennai Metro,GEN,140098,26,UDHAYANIDHI STALIN,DMK,DMK,62992,44.96,SELVAM. D,TVK,55852,5.1,19,False,False,-46.14,Chepauk-Thiruvallikeni,Chennai,Chennai Metro,GEN,
20,Thousand Lights,Chennai Metro,GEN,134555,20,EZHILAN N,DMK,DMK,71867,53.41,KUSHBOO SUNDAR,BJP,39405,24.13,56.25,20,Thousand Lights,Chennai Metro,GEN,131009,18,PRABHAKAR.J.C.D,TVK,TVK,58965,45.01,EZHILAN NAGANATHAN,DMK,43824,11.56,20,True,True,-12.569999999999999,Thousand Lights,Chennai,Chennai Metro,GEN,
21,Anna Nagar,Chennai Metro,GEN,163551,23,M.K. Mohan,DMK,DMK,80054,48.95,S. Gokula Indira,AIADMK,52609,16.78,57.33,21,Anna Nagar,Chennai Metro,GEN,162376,24,V.K.RAMKUMAR,TVK,TVK,71375,43.96,N.CHITRARASU,DMK,50012,13.16,21,True,True,-3.620000000000001,Anna Nagar,Chennai,Chennai Metro,GEN,
22,Virugampakkam,Chennai Metro,GEN,167524,27,AMV.PRABHAKARA RAJA,DMK,DMK,74351,44.38,VIRUGAI V.N.RAVI,AIADMK,55984,10.96,57.59,22,Virugampakkam,Chennai Metro,GEN,171801,24,SABARINATHAN.R,TVK,TVK,76092,44.29,PRABHAKARA RAJA.A.M.V,DMK,49006,15.77,22,True,True,4.809999999999999,Virugampakkam,Chennai,Chennai Metro,GEN,
23,Saidapet,Chennai Metro,GEN,159169,30,SUBRAMANIAN. MA,DMK,DMK,80194,50.38,SAIDAI DURAISAMY,AIADMK,50786,18.48,57.36,23,Saidapet,Chennai Metro,GEN,159477,15,ARUL PRAKASAM. M,TVK,TVK,81205,50.92,SUBRAMANIAN. MA,DMK,52691,17.88,23,True,True,-0.6000000000000014,Saidapet,Chennai,Chennai Metro,GEN,
24,Theayagaraya Nagar,Chennai Metro,GEN,136497,14,KARUNANITHI J,DMK,DMK,56035,41.05,SATHIYANAARAYANAN B,AIADMK,55898,0.1,55.99,24,Thiyagarayanagar,Chennai Metro,GEN,133050,26,ANAND N,TVK,TVK,51632,38.81,SATHIYANARAYANAN B,AIADMK,38605,9.79,24,True,True,9.69,Theayagaraya Nagar,Chennai,Chennai Metro,GEN,
