ac_number_2021,constituency_2021,region_2021,reserved_2021,valid_votes_2021,n_candidates_2021,winner_2021,winner_party_2021,winner_party_norm_2021,winner_votes_2021,winner_share_pct_2021,runner_up_2021,runner_up_party_norm_2021,runner_up_votes_2021,margin_pct_2021,turnout_pct_2021,ac_number_2026,constituency_2026,region_2026,reserved_2026,valid_votes_2026,n_candidates_2026,winner_2026,winner_party_2026,winner_party_norm_2026,winner_votes_2026,winner_share_pct_2026,runner_up_2026,runner_up_party_norm_2026,runner_up_votes_2026,margin_pct_2026,ac_number,flip_raw,flip_norm,margin_delta,constituency,district,region,reserved,turnout_pct_2026
55,Hosur,North,GEN,246122,18,PRAKAASH Y,DMK,DMK,118231,48.04,JYOTHI S,AIADMK,105864,5.02,70.09,55,Hosur,North,GEN,276156,13,BALAKRISHNAREDDY. P,AIADMK,AIADMK,109867,39.78,VENDARKARASAN.S,TVK,82064,10.07,55,True,True,5.050000000000001,Hosur,Krishnagiri,North,GEN,
56,Thalli,North,GEN,192056,12,RAMACHANDRAN.T,CPI,CPI,120641,62.82,Dr.NAGESH KUMAR.C,BJP,64415,29.28,77.06,56,Thalli,North,GEN,204328,10,RAMACHANDRAN. T,CPI,CPI,78283,38.31,DR.NAGESH KUMAR. C,BJP,73043,2.56,56,False,False,-26.720000000000002,Thalli,Krishnagiri,North,GEN,
57,Palacode,North,GEN,205244,12,ANBALAGAN.K.P.,AIADMK,AIADMK,110070,53.63,MURUGAN.P.K.,DMK,81970,13.69,87.37,57,Palacodu,North,GEN,223965,14,ANBALAGAN. K.P.,AIADMK,AIADMK,102807,45.9,GOPI. R.,TVK,63765,17.43,57,False,False,3.74,Palacode,Dharmapuri,North,GEN,
58,Pennagaram,North,GEN,208546,15,MANI. G.K,PMK,PMK,106123,50.89,INBASEKARAN. P.N.P,DMK,84937,10.16,85.0,58,Pennagaram,North,GEN,227992,22,GAJENDRAN. S.,TVK,TVK,81240,35.63,SELVAM. V.,PMK,78075,1.39,58,True,True,-8.77,Pennagaram,Dharmapuri,North,GEN,
59,Dharmapuri,North,GEN,215607,21,VENKATESHWARAN.S.P.,PMK,PMK,105630,48.99,SUBRAMANI.P,DMK,78770,12.46,79.69,59,Dharmapuri,North,GEN,237638,19,SOWMIYA ANBUMANI,PMK,PMK,93713,39.44,SIVAN. M.,TVK,72817,8.79,59,False,False,-3.6700000000000017,Dharmapuri,Dharmapuri,North,GEN,
60,Pappireddippatti,North,GEN,219656,15,GOVINDASAMY.A,AIADMK,AIADMK,114507,52.13,PRABHURAJASEKAR.M,DMK,77564,16.82,82.15,60,Pappireddipatti,North,GEN,235944,14,MARAGATHAM VETRIVEL,AIADMK,AIADMK,101829,43.16,PALANIAPPAN. P,DMK,68715,14.03,60,False,False,-2.790000000000001,Pappireddippatti,Dharmapuri,North,GEN,
61,Harur,North,SC,196316,13,SAMPATHKUMAR.V,AIADMK,AIADMK,99061,50.46,KUMAR.A,CPI(M),68699,15.47,78.46,61,Harur,North,SC,219260,14,SAMPATHKUMAR. V,AIADMK,AIADMK,75523,34.44,SHANMUGAM. A,DMK,72194,1.52,61,False,False,-13.950000000000001,Harur,Dharmapuri,North,SC,
62,Chengam,North,SC,222865,15,GIRI.M.P,DMK,DMK,108081,48.5,NAINAKANNU.M.S,AIADMK,96511,5.19,80.66,62,Chengam,North,SC,241783,15,S.VELU,AIADMK,AIADMK,87802,36.31,K BHARATHIDHASAN,TVK,74524,5.49,62,True,True,0.2999999999999998,Chengam,Tiruvannamalai,North,SC,
63,Tiruvannamalai,North,GEN,206642,15,E V VELU,DMK,DMK,137876,66.72,S THANIGAIVEL,BJP,43203,45.81,71.69,63,Tiruvannamalai,North,GEN,219281,30,VELU. E.V,DMK,DMK,88273,40.26,ARUL ARUMUGAM,TVK,85818,1.12,63,False,False,-44.690000000000005,Tiruvannamalai,Tiruvannamalai,North,GEN,
64,Kilpennathur,North,GEN,202925,21,K.Pitchandi,DMK,DMK,104675,51.58,K.Selvakumar,PMK,77888,13.2,79.35,64,Kilpennathur,North,GEN,219350,23,RAMACHANDRAN.S,AIADMK,AIADMK,90503,41.26,PITCHANDI.K,DMK,60038,13.89,64,True,True,0.6900000000000013,Kilpennathur,Tiruvannamalai,North,GEN,
65,Kalasapakkam,North,GEN,194841,15,Saravanan.P.S.T,DMK,DMK,94134,48.31,Panneerselvam.V,AIADMK,84912,4.73,80.36,65,Kalasapakkam,North,GEN,213704,21,AGRI KRISHNAMURTHY. S S,AIADMK,AIADMK,89629,41.94,SARAVANAN. P.S.T,DMK,62889,12.51,65,True,True,7.779999999999999,Kalasapakkam,Tiruvannamalai,North,GEN,
66,Polur,North,GEN,200868,15,Agri KRISHNAMURTHY. S S,AIADMK,AIADMK,97732,48.65,SEKARAN. K.V,DMK,88007,4.84,82.33,66,Polur,North,GEN,210945,15,ABISHEK. R,TVK,TVK,67961,32.22,SARAVANAN. P,DMDK,67734,0.11,66,True,True,-4.7299999999999995,Polur,Tiruvannamalai,North,GEN,
67,Arani,North,GEN,219732,15,S.RAMACHANDRAN,AIADMK,AIADMK,102961,46.86,S.S.ANBALAGAN,DMK,99833,1.42,79.84,67,Arani,North,GEN,229455,24,JAYASUDHA. L,AIADMK,AIADMK,76735,33.44,MAHALAKSHMI GOVARTHANAN,DMK,71104,2.45,67,False,False,1.0300000000000002,Arani,Tiruvannamalai,North,GEN,
68,Cheyyar,North,GEN,212565,15,JOTHI. O,DMK,DMK,102460,48.2,DUSI. K. MOHAN,AIADMK,90189,5.77,81.69,68,Cheyyar,North,GEN,221620,13,MUKKUR N. SUBRAMANIAN,AIADMK,AIADMK,86680,39.11,DUSI K MOHAN,TVK,65599,9.51,68,True,True,3.74,Cheyyar,Tiruvannamalai,North,GEN,
69,Vandavasi,North,SC,184205,11,Ambethkumar S,DMK,DMK,102064,55.41,Murali S,PMK,66111,19.52,76.81,69,Vandavasi,North,SC,190216,15,AMBETHKUMAR. S,DMK,DMK,63805,33.54,RANI. P,AIADMK,60472,1.75,69,False,False,-17.77,Vandavasi,Tiruvannamalai,North,SC,
70,Gingee,Central,GEN,204601,13,MASTHAN K S,DMK,DMK,109625,53.58,RAJENDIRAN P,PMK,73822,17.5,78.21,70,Gingee,Central,GEN,216144,19,GANESHKUMAR A,PMK,PMK,78201,36.18,GINGEE MASTHAN K S,DMK,65556,5.85,70,True,True,-11.65,Gingee,Villupuram,Central,GEN,
71,Mailam,Central,GEN,176105,14,SIVAKUMAR C,PMK,PMK,81044,46.02,Dr. MASILAMANI R,DMK,78814,1.27,79.5,71,Mailam,Central,GEN,188922,21,SHANMUGAM C VE,AIADMK,AIADMK,82353,43.59,VIJAY NIRANJAN A,TVK,52312,15.9,71,True,True,14.63,Mailam,Villupuram,Central,GEN,
72,Tindivanam,Central,SC,181015,15,ARJUNAN P,AIADMK,AIADMK,87152,48.15,SEETHAPATHY P,DMK,77399,5.39,78.43,72,Tindivanam,Central,SC,195312,14,VANNI ARASU,VCK,VCK,63833,32.68,ARJUNAN. P,AIADMK,63099,0.38,72,True,True,-5.01,Tindivanam,Villupuram,Central,SC,
73,Vanur,Central,SC,180845,7,CHAKRAPANI M,AIADMK,AIADMK,92219,50.99,VANNI ARASU,VCK,70492,12.01,79.79,73,Vanur,Central,SC,191600,15,GOWTHAM D,DMK,DMK,68873,35.95,SURESH P,TVK,61839,3.67,73,True,True,-8.34,Vanur,Villupuram,Central,SC,
74,Villupuram,Central,GEN,203890,25,LAKSHMANAN R,DMK,DMK,102271,50.16,SHANMUGAM C Ve,AIADMK,87403,7.29,76.97,74,Viluppuram,Central,GEN,214849,24,LAKSHMANAN R,DMK,DMK,72982,33.97,MOHANRAJ N,TVK,68863,1.92,74,False,False,-5.37,Villupuram,Villupuram,Central,GEN,
75,Vikravandi,Central,GEN,192495,14,PUGAZHENTHI N,DMK,DMK,93730,48.69,MUTHAMILSELVAN R,AIADMK,84157,4.97,81.39,75,Vikravandi,Central,GEN,208830,24,SIVAKUMAR C,PMK,PMK,69727,33.39,VIJAI VADIVEL A,TVK,68817,0.44,75,True,True,-4.529999999999999,Vikravandi,Villupuram,Central,GEN,
76,Tirukkoyilur,Central,GEN,194178,14,K.PONMUDY,DMK,DMK,110980,57.15,VAT.KALIVARADHAN,BJP,51300,30.73,76.27,76,Tirukkoyilur,Central,GEN,216818,15,PALANISAMY S,AIADMK,AIADMK,73033,33.68,VIJAY R BARANIBALAAJI,TVK,72748,0.13,76,True,True,-30.6,Tirukkoyilur,Villupuram,Central,GEN,
77,Ulundurpet,Central,GEN,242573,15,MANIKANNAN A J,DMK,DMK,115451,47.59,KUMARAGURU R,AIADMK,110195,2.17,82.62,77,Ulundurpettai,Central,GEN,269951,14,VASANTHAVEL G R,DMK,DMK,98471,36.48,KUMARAGURU R,AIADMK,96194,0.84,77,False,False,-1.33,Ulundurpet,Villupuram,Central,GEN,
78,Rishivandiam,Central,GEN,212686,15,KARTHIKEYAN K,DMK,DMK,113912,53.56,SANTHOSH S A,AIADMK,72184,19.62,80.18,78,Rishivandiyam,Central,GEN,244261,25,KARTHIKEYAN K,DMK,DMK,89711,36.73,ASHOK KUMAR G,TVK,84849,1.99,78,False,False,-17.630000000000003,Rishivandiam,Villupuram,Central,GEN,
79,Sankarapuram,Central,GEN,214849,19,UDHAYASURIYAN T,DMK,DMK,121186,56.41,Dr.RAJA G,PMK,75223,21.39,79.58,79,Sankarapuram,Central,GEN,235145,22,RAKESH R,AIADMK,AIADMK,80250,34.13,UDHAYASURIYAN T,DMK,76810,1.46,79,True,True,-19.93,Sankarapuram,Villupuram,Central,GEN,
80,Kallakurichi,Central,SC,224601,17,Senthilkumar.M,AIADMK,AIADMK,110643,49.26,Manirathinem.K.I,INC,84752,11.53,78.16,80,Kallakurichi,Central,SC,248743,11,ARUL VIGNESH C,TVK,TVK,81132,32.62,RAJEEVGANDHI S,AIADMK,80334,0.32,80,True,True,-11.209999999999999,Kallakurichi,Villupuram,Central,SC,
81,Gangavalli,Central,SC,185252,11,"NALLATHAMBI,A.",AIADMK,AIADMK,89568,48.35,"REKHA PRIYADHARSHINI,J.",DMK,82207,3.97,77.11,81,Gangavalli,Central,SC,195948,13,NALLATHAMBI. A,AIADMK,AIADMK,73167,37.34,CHINNADURAI. K,DMK,58763,7.35,81,False,False,3.3799999999999994,Gangavalli,Salem,Central,SC,
82,Attur,Central,SC,197909,11,"JAYASANKARAN, A.P.",AIADMK,AIADMK,95308,48.16,"CHINNADURAI, K.",DMK,87051,4.17,77.26,82,Attur,Central,SC,207265,15,JAYASANKARAN. A.P.,AIADMK,AIADMK,80843,39.0,SELVABHARATHI. R.,TVK,65525,7.39,82,False,False,3.2199999999999998,Attur,Salem,Central,SC,
83,Yercaud,Central,ST,236945,13,G. Chitra,AIADMK,AIADMK,121561,51.3,C. TAMILSELVAN,DMK,95606,10.95,83.09,83,Yercaud,Central,ST,252342,13,USHARANI. P,AIADMK,AIADMK,87772,34.78,LAKSHMI JANARTHANAN. J,TVK,85583,0.87,83,False,False,-10.08,Yercaud,Salem,Central,ST,
84,Omalur,Central,GEN,247427,15,R.MANI,AIADMK,AIADMK,142488,57.59,RANGARAJAN MOHAN KUMARAMANGALAM,INC,87194,22.35,83.28,84,Omalur,Central,GEN,269686,15,MANI. R,AIADMK,AIADMK,112246,41.62,ADHIYAMAAN. R.V,TVK,97707,5.39,84,False,False,-16.96,Omalur,Salem,Central,GEN,
85,Mettur,Central,GEN,216195,14,SADHASIVAM.S,PMK,PMK,97055,44.89,SRINIVASAPERUMAL.S,DMK,96399,0.3,75.01,85,Mettur,Central,GEN,230311,18,VENKATACHALAM. G,AIADMK,AIADMK,86498,37.56,MIDHUN CHAKRAVARTHY. M,DMK,67393,8.3,85,True,True,8.0,Mettur,Salem,Central,GEN,
86,Edapadi,Central,GEN,246192,28,EDAPPADI PALANISWAMI. K,AIADMK,AIADMK,163154,66.27,SAMBATHKUMAR. T,DMK,69352,38.1,85.64,86,Edappadi,Central,GEN,256922,15,EDAPPADI PALANISWAMI. K,AIADMK,AIADMK,148933,57.97,PREMKUMAR. K,IND,50823,38.19,86,False,False,0.0899999999999963,Edapadi,Salem,Central,GEN,
87,Sankari,Central,GEN,230778,23,"SUNDARARAJAN, S.",AIADMK,AIADMK,115472,50.04,"RAJESH, K.M.",DMK,95427,8.69,83.71,87,Sankari,Central,GEN,243068,20,VETRIVEL. S,AIADMK,AIADMK,87342,35.93,SENTHILKUMAR. K,TVK,77825,3.92,87,False,False,-4.77,Sankari,Salem,Central,GEN,
88,Salem (West),Central,GEN,214945,28,ARUL. R,PMK,PMK,105483,49.07,RAJENDRAN. A,DMK,83984,10.0,71.81,88,Salem (West),Central,GEN,233355,31,LAKSHMANAN.S,TVK,TVK,120407,51.6,KARTHE.M,PMK,45540,32.08,88,True,True,22.08,Salem (West),Salem,Central,GEN,
89,Salem (North),Central,GEN,200837,20,R. RAJENDRAN,DMK,DMK,93432,46.52,G.VENKATACHALAM,AIADMK,85844,3.78,72.14,89,Salem (North),Central,GEN,209507,14,SIVAKUMAR. K,TVK,TVK,85710,40.91,RAJENDRAN. R,DMK,71676,6.7,89,True,True,2.9200000000000004,Salem (North),Salem,Central,GEN,
90,Salem (South),Central,GEN,198122,24,E.BALASUBRAMANIAN,AIADMK,AIADMK,97506,49.22,A.S.SARAVANAN,DMK,74897,11.41,76.0,90,Salem (South),Central,GEN,207157,19,VIJAY TAMILAN PARTHIBAN. A,TVK,TVK,91371,44.11,LOGANATHAN. M,DMK,58002,16.11,90,True,True,4.699999999999999,Salem (South),Salem,Central,GEN,
91,Veerapandi,Central,GEN,222293,20,"RAJAMUTHU, M.",AIADMK,AIADMK,111682,50.24,"THARUN, A.K.",DMK,91787,8.95,85.64,91,Veerapandi,Central,GEN,235281,20,PALANIVEL. M.S,TVK,TVK,79907,33.96,SRI BALAJI SUGUMAR. S,AIADMK,75836,1.73,91,True,True,-7.219999999999999,Veerapandi,Salem,Central,GEN,
92,Rasipuram,Central,SC,194794,15,MATHIVENTHAN M,DMK,DMK,90727,46.58,SAROJA V. Dr,AIADMK,88775,1.0,82.05,92,Rasipuram,Central,SC,203817,18,LOGESH TAMILSELVAN D,TVK,TVK,74808,36.7,PREMKUMAR S D,BJP,60297,7.12,92,True,True,6.12,Rasipuram,Namakkal,Central,SC,
93,Sendamangalam,Central,ST,197177,15,PONNUSAMY K,DMK,DMK,90681,45.99,CHANDRAN S,AIADMK,80188,5.32,80.93,93,Senthamangalam,Central,ST,208476,12,P CHANDRASEKAR,TVK,TVK,68815,33.01,C CHANDRASEKARAN,AIADMK,66160,1.27,93,True,True,-4.050000000000001,Sendamangalam,Namakkal,Central,ST,
94,Namakkal,Central,GEN,205474,26,RAMALINGAM P,DMK,DMK,106494,51.83,BASKAR K.P.P.,AIADMK,78633,13.56,78.57,94,Namakkal,Central,GEN,211523,27,DILIP C S,TVK,TVK,79744,37.7,SRIDEVI MOHAN P S,AIADMK,68736,5.2,94,True,True,-8.36,Namakkal,Namakkal,Central,GEN,
95,Paramathi-Velur,Central,GEN,182733,27,SEKAR S,AIADMK,AIADMK,86034,47.08,MOORTHIY K S,DMK,78372,4.19,81.14,95,Paramathi-Velur,Central,GEN,188396,31,SEKAR S,AIADMK,AIADMK,61349,32.56,MOORTHIY K S,DMK,61041,0.16,95,False,False,-4.03,Paramathi-Velur,Namakkal,Central,GEN,
96,Tiruchengode,Central,GEN,183151,28,ESWARAN E R,DMK,DMK,81688,44.6,SARASWATHI PON,AIADMK,78826,1.56,78.71,96,Tiruchengodu,Central,GEN,190602,23,ARUNRAJ K G,TVK,TVK,79500,41.71,SRMT SEKAR (A) CHANDRASEKAR R,AIADMK,51328,14.78,96,True,True,13.219999999999999,Tiruchengode,Namakkal,Central,GEN,
97,Kumarapalayam,Central,GEN,200583,29,THANGAMANI.P,AIADMK,AIADMK,100800,50.25,M.VENKATACHALAM,DMK,69154,15.78,78.85,97,Kumarapalayam,Central,GEN,204659,21,C.VIJAYALAKSHMI,TVK,TVK,81179,39.67,P.THANGAMANI,AIADMK,73483,3.76,97,True,True,-12.02,Kumarapalayam,Namakkal,Central,GEN,
98,Erode (East),Kongu,GEN,150491,14,"THIRUMAHAN EVERAA,E.",INC,INC,67300,44.72,"YUVARAJA,M.",AIADMK,58396,5.92,66.24,98,Erode (East),Kongu,GEN,161574,20,M.VIJAY BALAJI,TVK,TVK,69747,43.17,GOPINATH PALANIYAPPAN,INC,45781,14.83,98,True,True,8.91,Erode (East),Erode,Kongu,GEN,
99,Erode (West),Kongu,GEN,203611,15,Muthusamy S,DMK,DMK,100757,49.49,Ramalingam K V,AIADMK,78668,10.85,69.36,99,Erode (West),Kongu,GEN,220143,13,ANANTH MOGHAN K.K.,TVK,TVK,96836,43.99,S. MUTHUSAMY,DMK,74586,10.11,99,True,True,-0.7400000000000002,Erode (West),Erode,Kongu,GEN,
100,Modakurichi,Kongu,GEN,179515,15,SARASWATHI.C,BJP,BJP,78125,43.52,SUBBULAKSHMI JEGADEESAN,DMK,77844,0.16,75.26,100,Modakkurichi,Kongu,GEN,189834,14,D.SHANMUGAN,TVK,TVK,60715,31.98,S.KIRTHIKA,BJP,58285,1.28,100,True,True,1.12,Modakurichi,Erode,Kongu,GEN,
101,Dharapuram,Kongu,SC,192088,14,KAYALVIZHI N,DMK,DMK,89986,46.85,MURUGAN L,BJP,88593,0.73,74.15,101,Dharapuram,Kongu,SC,198886,9,SATHYABAMA.P,AIADMK,AIADMK,81100,40.78,INDIRANI.T,DMK,64373,8.41,101,True,True,7.68,Dharapuram,Erode,Kongu,SC,
102,Kangayam,Kongu,GEN,198791,26,SAMINATHAN.M.P,DMK,DMK,94197,47.38,RAMALINGAM.A.S,AIADMK,86866,3.69,77.19,102,Kangayam,Kongu,GEN,202828,15,NSN NATARAJ,AIADMK,AIADMK,71122,35.07,MANI GOUNDER,TVK,62989,4.01,102,True,True,0.31999999999999984,Kangayam,Erode,Kongu,GEN,
103,Perundurai,Kongu,GEN,188654,25,"JAYAKUMAR, S.",AIADMK,AIADMK,85125,45.12,KKC BALU,DMK,70618,7.69,82.6,103,Perundurai,Kongu,GEN,199874,13,JAYAKUMAR. S,AIADMK,AIADMK,70302,35.17,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,DMK,60609,4.85,103,False,False,-2.8400000000000007,Perundurai,Erode,Kongu,GEN,
104,Bhavani,Kongu,GEN,199306,14,KARUPPANAN.K.C,AIADMK,AIADMK,100915,50.63,DURAIRAJ.K.P,DMK,78392,11.3,83.5,104,Bhavani,Kongu,GEN,206914,14,KARUPPANAN. K.C,AIADMK,AIADMK,75577,36.53,BALAKRISHNAN,TVK,68181,3.57,104,False,False,-7.73,Bhavani,Erode,Kongu,GEN,
105,Anthiyur,Kongu,GEN,175358,20,VENKATACHALAM.A.G,DMK,DMK,79096,45.11,SHANMUGAVEL.K.S,AIADMK,77821,0.73,79.69,105,Anthiyur,Kongu,GEN,185021,14,HARIBASKAR.P,AIADMK,AIADMK,60042,32.45,SIVABALAN.M,DMK,58782,0.68,105,True,True,-0.04999999999999993,Anthiyur,Erode,Kongu,GEN,
106,Gobichettipalayam,Kongu,GEN,212974,19,SENGOTTAIYAN K.A,AIADMK,AIADMK,108608,51.0,MANIMARAN G.V,DMK,80045,13.41,82.52,106,Gobichettipalayam,Kongu,GEN,218820,18,SENGOTTAIYAN.K.A,TVK,TVK,82612,37.75,NALLASIVAM.N,DMK,65992,7.6,106,True,True,-5.8100000000000005,Gobichettipalayam,Tirupur,Kongu,GEN,
107,Bhavanisagar,Kongu,SC,198562,6,A.Bannari,AIADMK,AIADMK,99181,49.95,P.L SUNDARAM,CPI,83173,8.06,77.37,107,Bhavanisagar,Kongu,SC,212791,12,V.P.TAMILSELVI,TVK,TVK,72391,34.02,A.BANNARI,AIADMK,67822,2.15,107,True,True,-5.91,Bhavanisagar,Tirupur,Kongu,SC,
108,Udhagamandalam,Kongu,GEN,139726,9,"GANESH, R.",INC,INC,65530,46.9,"BHOJARAJAN, M.",BJP,60182,3.83,67.82,108,Udhagamandalam,Kongu,GEN,147179,6,BHOJARAJAN.M,BJP,BJP,48488,32.94,IBRAHIM.R,TVK,47512,0.66,108,True,True,-3.17,Udhagamandalam,Tirupur,Kongu,GEN,
109,Gudalur,Kongu,SC,137240,7,PON.JAYASEELAN,AIADMK,AIADMK,64496,47.0,"KASILINGAM, S.",DMK,62551,1.42,72.15,109,Gudalur,Kongu,SC,150370,6,DHRAVIDAMANI.M,DMK,DMK,65590,43.62,PON.JAYASEELAN,AIADMK,42757,15.18,109,True,True,13.76,Gudalur,Tirupur,Kongu,SC,
110,Coonoor,Kongu,GEN,134720,10,"Ramachandran, K.",DMK,DMK,61820,45.89,"Vinoth, D.",AIADMK,57715,3.05,69.79,110,Coonoor,Kongu,GEN,140674,6,M. RAJU,DMK,DMK,50470,35.88,A. RAMU,AIADMK,42371,5.76,110,False,False,2.71,Coonoor,Tirupur,Kongu,GEN,
111,Mettupalayam,Kongu,GEN,222350,10,SELVARAJ A K,AIADMK,AIADMK,105231,47.33,SHANMUGASUNDARAM T R,DMK,102775,1.1,75.14,111,Mettuppalayam,Kongu,GEN,243480,22,SUNILANAND,TVK,TVK,75664,31.08,SMT.KAVITHA KALYANASUNDARAM,DMK,67896,3.19,111,True,True,2.09,Mettupalayam,Tirupur,Kongu,GEN,
112,Avanashi,Kongu,SC,210255,12,"DHANAPAL, P",AIADMK,AIADMK,117284,55.78,ATHIYAMAAN RAJU,DMK,66382,24.21,75.18,112,Avanashi,Kongu,SC,230037,14,KAMALI.S,TVK,TVK,84209,36.61,DR. L. MURUGAN,BJP,68836,6.68,112,True,True,-17.53,Avanashi,Tirupur,Kongu,SC,
113,Tiruppur (North),Kongu,GEN,235930,15,VIJEYAKUMAR.K.N,AIADMK,AIADMK,113384,48.06,RAVI (Alias) SUBRAMANIAN . M,CPI,73282,17.0,62.44,113,Tiruppur (North),Kongu,GEN,262379,15,V.SATHYABAMA,TVK,TVK,131401,50.08,M.S.M.ANANDAN,AIADMK,61409,26.68,113,True,True,9.68,Tiruppur (North),Tirupur,Kongu,GEN,
114,Tiruppur (South),Kongu,GEN,173276,20,SELVARAJ. K.,DMK,DMK,75535,43.59,GUNASEKARAN. S.,AIADMK,70826,2.72,62.74,114,Tiruppur (South),Kongu,GEN,179170,24,BALAMURUGAN. S,TVK,TVK,73793,41.19,DINESHKUMAR. N,DMK,60892,7.2,114,True,True,4.48,Tiruppur (South),Nilgiris,Kongu,GEN,
115,Palladam,Kongu,GEN,259709,20,ANANDAN M S M,AIADMK,AIADMK,126903,48.86,MUTHURATHINAM K,DMK,94212,12.59,66.7,115,Palladam,Kongu,GEN,299597,15,K.RAMKUMAR,TVK,TVK,121297,40.49,K.P.PARAMASIVAM,AIADMK,83400,12.65,115,True,True,0.0600000000000005,Palladam,Nilgiris,Kongu,GEN,
116,Sulur,Kongu,GEN,239043,15,KANDASAMY V.P.,AIADMK,AIADMK,118968,49.77,PREMIER SELVAM (a)KALICHAMY M,DMK,87036,13.36,75.57,116,Sulur,Kongu,GEN,272191,15,NM.SUKUMAR,TVK,TVK,90531,33.26,V.P.KANDASAMY,AIADMK,85741,1.76,116,True,True,-11.6,Sulur,Nilgiris,Kongu,GEN,
117,Kavundampalayam,Kongu,GEN,307026,12,G.Arunkumar,AIADMK,AIADMK,135669,44.19,R.Krishnan,DMK,125893,3.18,66.13,117,Kavundampalayam,Kongu,GEN,361875,14,KANIMOZHI SANTHOSH,TVK,TVK,146466,40.47,ARUNKUMAR PRG,AIADMK,104326,11.64,117,True,True,8.46,Kavundampalayam,Coimbatore,Kongu,GEN,
118,Coimbatore North,Kongu,GEN,201098,20,AMMAN K.ARJUNAN,AIADMK,AIADMK,81454,40.5,SHANMUGASUNDARAM V.M,DMK,77453,1.99,59.21,118,Coimbatore (North),Kongu,GEN,225089,28,V. SAMPATHKUMAR,TVK,TVK,92500,41.09,DURAI. SENTHAMIL SELVAN B.E,DMK,70508,9.77,118,True,True,7.779999999999999,Coimbatore North,Coimbatore,Kongu,GEN,
119,Thondamuthur,Kongu,GEN,228896,10,S.P. VELUMANI,AIADMK,AIADMK,124225,54.27,KARTHIKEYA,DMK,82595,18.19,70.22,119,Thondamuthur,Kongu,GEN,257549,21,S.P.VELUMANI,AIADMK,AIADMK,93316,36.23,SATHISH RAJU (ALIAS) K.P.R. SATHISH,TVK,78591,5.72,119,False,False,-12.470000000000002,Thondamuthur,Coimbatore,Kongu,GEN,
120,Coimbatore South,Kongu,GEN,153864,21,VANATHI SRINIVASAN,BJP,BJP,53209,34.58,KAMALHAASAN,MNM,51481,1.12,60.69,120,Coimbatore (South),Kongu,GEN,155740,31,V SENTHILBALAJI,DMK,DMK,59724,38.35,V. SENTHILKUMAR,TVK,57453,1.46,120,True,True,0.33999999999999986,Coimbatore South,Coimbatore,Kongu,GEN,
121,Singanallur,Kongu,GEN,200589,21,"Jayaram, K.R",AIADMK,AIADMK,81244,40.5,"Karthik, N",DMK,70390,5.41,61.73,121,Singanallur,Kongu,GEN,219687,28,K.S.SRI GIRI PRASATH,TVK,TVK,84163,38.31,V.SRINIDHI,INC,65024,8.71,121,True,True,3.3000000000000007,Singanallur,Coimbatore,Kongu,GEN,
122,Kinathukadavu,Kongu,GEN,230155,14,Damodaran.S,AIADMK,AIADMK,101537,44.12,Kuruchi Prabhakaran,DMK,100442,0.48,70.64,122,Kinathukadavu,Kongu,GEN,266200,5,VIGNESH K,TVK,TVK,99950,37.55,SABARI KARTHIKEYAN K.V.K.S,DMK,88240,4.4,122,True,True,3.9200000000000004,Kinathukadavu,Coimbatore,Kongu,GEN,
123,Pollachi,Kongu,GEN,175762,8,Pollachi V. Jayaraman,AIADMK,AIADMK,80567,45.84,"Dr. Varadharajan, K.",DMK,78842,0.98,77.34,123,Pollachi,Kongu,GEN,180347,13,K. NITHYANANDHAN,DMK,DMK,62013,34.39,POLLACHI V. JAYARAMAN,AIADMK,57386,2.57,123,True,True,1.5899999999999999,Pollachi,Coimbatore,Kongu,GEN,
124,Valparai,Kongu,SC,143757,6,AMULKANDASAMI T K,AIADMK,AIADMK,71672,49.86,ARUMUGAM M,CPI,59449,8.5,70.04,124,Valparai,Kongu,SC,149756,6,KUTTY (ALIAS) SUDHAKAR. A,DMK,DMK,54671,36.51,DR. SRIDHARAN. A,TVK,45300,6.26,124,True,True,-2.24,Valparai,Coimbatore,Kongu,SC,
125,Udumalpet,Kongu,GEN,192880,15,"Radhakrishnan,K.",AIADMK,AIADMK,96893,50.23,"Thennarasu,K.",INC,74998,11.35,71.31,125,Udumalaipettai,Kongu,GEN,202426,11,JAYAKUMAR M.,DMK,DMK,68549,33.86,RADHAKRISHNAN K.,AIADMK,65667,1.42,125,True,True,-9.93,Udumalpet,Coimbatore,Kongu,GEN,
126,Madathukulam,Kongu,GEN,180854,15,C MAHENDRAN,AIADMK,AIADMK,84313,46.62,R.JAYARAMAKRISHNAN,DMK,77875,3.56,72.45,126,Madathukulam,Kongu,GEN,187338,13,R JAYARAMAKRISHNAN,DMK,DMK,70458,37.61,C SHANMUGAVELU,AMMK,54490,8.52,126,True,True,4.959999999999999,Madathukulam,Coimbatore,Kongu,GEN,
127,Palani,South,GEN,204274,24,SENTHIL KUMAR I.P,DMK,DMK,108566,53.15,RAVI MANOHARAN K,AIADMK,78510,14.71,73.33,127,Palani,South,GEN,207869,15,RAVIMANOHARAN. K,AIADMK,AIADMK,66986,32.23,DR. PRAVEEN KUMAR. M,TVK,66293,0.33,127,True,True,-14.38,Palani,Dindigul,South,GEN,
