party_norm,vote_share_pct,seat_share_pct,representation_gap_pp,votes_per_seat_index
TVK,35.07,46.15,11.08,0.76
DMK,24.28,25.21,0.93,0.96
AIADMK,21.58,20.09,-1.49,1.07
NTK,4.02,0.0,-4.02,
INC,3.38,2.14,-1.24,1.58
BJP,2.99,0.43,-2.56,6.95
PMK,2.18,1.71,-0.47,1.27
DMDK,1.2,0.43,-0.77,2.79
VCK,1.1,0.85,-0.25,1.29
IND,1.07,0.0,-1.07,
AMMK,0.87,0.43,-0.44,2.02
CPI,0.66,0.85,0.19,0.78
CPI(M),0.61,0.85,0.24,0.72
OTH,0.41,0.0,-0.41,
IUML,0.29,0.85,0.56,0.34
PT,0.19,0.0,-0.19,
BSP,0.11,0.0,-0.11,
SAMATAPART,0.0,0.0,0.0,
