ac_number,constituency,region,nota_votes,nota_pct
91,Veerapandi,Central,594,0.25
159,Kattumannarkoil,Central,465,0.25
161,Mayiladuthurai,Delta,474,0.25
48,Ambur,North,468,0.24
221,Kadayanallur,South,527,0.24
204,Sattur,South,476,0.24
39,Sholingur,North,572,0.24
95,Paramathi-Velur,Central,449,0.24
228,Radhapuram,South,469,0.23
70,Gingee,Central,508,0.23
184,Karaikudi,South,519,0.23
50,Tiruppattur,North,464,0.23
76,Tirukkoyilur,Central,500,0.23
208,Tiruchuli,South,425,0.23
230,Nagercoil,South,447,0.23
78,Rishivandiyam,Central,534,0.22
148,Kunnam,Central,484,0.21
167,Mannargudi,Delta,405,0.21
143,Lalgudi,Delta,390,0.21
133,Vedasandur,South,474,0.21
65,Kalasapakkam,North,423,0.2
64,Kilpennathur,North,440,0.2
75,Vikravandi,Central,401,0.19
212,Mudhukulathur,South,429,0.19
179,Viralimalai,Delta,375,0.18
150,Jayankondam,Central,416,0.18
79,Sankarapuram,Central,383,0.16
210,Tiruvadanai,South,354,0.16
71,Mailam,Central,299,0.16
