ac_number,constituency,region,reserved,valid_votes,n_candidates,winner,winner_party,winner_party_norm,winner_votes,winner_share_pct,runner_up,runner_up_party_norm,runner_up_votes,margin_pct,turnout_pct
53,Krishnagiri,North,GEN,229045,15,MUKUNDHAN.P,TVK,TVK,89374,39.02,ASHOKKUMAR.K,AIADMK,70530,8.23,
54,Veppanahalli,North,GEN,221038,13,SRINIVASAN.P.S,DMK,DMK,74691,33.79,MUNUSAMY.K.P,AIADMK,74553,0.06,
55,Hosur,North,GEN,276156,13,BALAKRISHNAREDDY. P,AIADMK,AIADMK,109867,39.78,VENDARKARASAN.S,TVK,82064,10.07,
56,Thalli,North,GEN,204328,10,RAMACHANDRAN. T,CPI,CPI,78283,38.31,DR.NAGESH KUMAR. C,BJP,73043,2.56,
57,Palacodu,North,GEN,223965,14,ANBALAGAN. K.P.,AIADMK,AIADMK,102807,45.9,GOPI. R.,TVK,63765,17.43,
58,Pennagaram,North,GEN,227992,22,GAJENDRAN. S.,TVK,TVK,81240,35.63,SELVAM. V.,PMK,78075,1.39,
59,Dharmapuri,North,GEN,237638,19,SOWMIYA ANBUMANI,PMK,PMK,93713,39.44,SIVAN. M.,TVK,72817,8.79,
60,Pappireddipatti,North,GEN,235944,14,MARAGATHAM VETRIVEL,AIADMK,AIADMK,101829,43.16,PALANIAPPAN. P,DMK,68715,14.03,
61,Harur,North,SC,219260,14,SAMPATHKUMAR. V,AIADMK,AIADMK,75523,34.44,SHANMUGAM. A,DMK,72194,1.52,
62,Chengam,North,SC,241783,15,S.VELU,AIADMK,AIADMK,87802,36.31,K BHARATHIDHASAN,TVK,74524,5.49,
63,Tiruvannamalai,North,GEN,219281,30,VELU. E.V,DMK,DMK,88273,40.26,ARUL ARUMUGAM,TVK,85818,1.12,
64,Kilpennathur,North,GEN,219350,23,RAMACHANDRAN.S,AIADMK,AIADMK,90503,41.26,PITCHANDI.K,DMK,60038,13.89,
65,Kalasapakkam,North,GEN,213704,21,AGRI KRISHNAMURTHY. S S,AIADMK,AIADMK,89629,41.94,SARAVANAN. P.S.T,DMK,62889,12.51,
66,Polur,North,GEN,210945,15,ABISHEK. R,TVK,TVK,67961,32.22,SARAVANAN. P,DMDK,67734,0.11,
67,Arani,North,GEN,229455,24,JAYASUDHA. L,AIADMK,AIADMK,76735,33.44,MAHALAKSHMI GOVARTHANAN,DMK,71104,2.45,
68,Cheyyar,North,GEN,221620,13,MUKKUR N. SUBRAMANIAN,AIADMK,AIADMK,86680,39.11,DUSI K MOHAN,TVK,65599,9.51,
69,Vandavasi,North,SC,190216,15,AMBETHKUMAR. S,DMK,DMK,63805,33.54,RANI. P,AIADMK,60472,1.75,
70,Gingee,Central,GEN,216144,19,GANESHKUMAR A,PMK,PMK,78201,36.18,GINGEE MASTHAN K S,DMK,65556,5.85,
71,Mailam,Central,GEN,188922,21,SHANMUGAM C VE,AIADMK,AIADMK,82353,43.59,VIJAY NIRANJAN A,TVK,52312,15.9,
72,Tindivanam,Central,SC,195312,14,VANNI ARASU,VCK,VCK,63833,32.68,ARJUNAN. P,AIADMK,63099,0.38,
73,Vanur,Central,SC,191600,15,GOWTHAM D,DMK,DMK,68873,35.95,SURESH P,TVK,61839,3.67,
74,Viluppuram,Central,GEN,214849,24,LAKSHMANAN R,DMK,DMK,72982,33.97,MOHANRAJ N,TVK,68863,1.92,
75,Vikravandi,Central,GEN,208830,24,SIVAKUMAR C,PMK,PMK,69727,33.39,VIJAI VADIVEL A,TVK,68817,0.44,
76,Tirukkoyilur,Central,GEN,216818,15,PALANISAMY S,AIADMK,AIADMK,73033,33.68,VIJAY R BARANIBALAAJI,TVK,72748,0.13,
77,Ulundurpettai,Central,GEN,269951,14,VASANTHAVEL G R,DMK,DMK,98471,36.48,KUMARAGURU R,AIADMK,96194,0.84,
78,Rishivandiyam,Central,GEN,244261,25,KARTHIKEYAN K,DMK,DMK,89711,36.73,ASHOK KUMAR G,TVK,84849,1.99,
79,Sankarapuram,Central,GEN,235145,22,RAKESH R,AIADMK,AIADMK,80250,34.13,UDHAYASURIYAN T,DMK,76810,1.46,
80,Kallakurichi,Central,SC,248743,11,ARUL VIGNESH C,TVK,TVK,81132,32.62,RAJEEVGANDHI S,AIADMK,80334,0.32,
81,Gangavalli,Central,SC,195948,13,NALLATHAMBI. A,AIADMK,AIADMK,73167,37.34,CHINNADURAI. K,DMK,58763,7.35,
82,Attur,Central,SC,207265,15,JAYASANKARAN. A.P.,AIADMK,AIADMK,80843,39.0,SELVABHARATHI. R.,TVK,65525,7.39,
83,Yercaud,Central,ST,252342,13,USHARANI. P,AIADMK,AIADMK,87772,34.78,LAKSHMI JANARTHANAN. J,TVK,85583,0.87,
84,Omalur,Central,GEN,269686,15,MANI. R,AIADMK,AIADMK,112246,41.62,ADHIYAMAAN. R.V,TVK,97707,5.39,
85,Mettur,Central,GEN,230311,18,VENKATACHALAM. G,AIADMK,AIADMK,86498,37.56,MIDHUN CHAKRAVARTHY. M,DMK,67393,8.3,
86,Edappadi,Central,GEN,256922,15,EDAPPADI PALANISWAMI. K,AIADMK,AIADMK,148933,57.97,PREMKUMAR. K,IND,50823,38.19,
87,Sankari,Central,GEN,243068,20,VETRIVEL. S,AIADMK,AIADMK,87342,35.93,SENTHILKUMAR. K,TVK,77825,3.92,
88,Salem (West),Central,GEN,233355,31,LAKSHMANAN.S,TVK,TVK,120407,51.6,KARTHE.M,PMK,45540,32.08,
89,Salem (North),Central,GEN,209507,14,SIVAKUMAR. K,TVK,TVK,85710,40.91,RAJENDRAN. R,DMK,71676,6.7,
90,Salem (South),Central,GEN,207157,19,VIJAY TAMILAN PARTHIBAN. A,TVK,TVK,91371,44.11,LOGANATHAN. M,DMK,58002,16.11,
91,Veerapandi,Central,GEN,235281,20,PALANIVEL. M.S,TVK,TVK,79907,33.96,SRI BALAJI SUGUMAR. S,AIADMK,75836,1.73,
92,Rasipuram,Central,SC,203817,18,LOGESH TAMILSELVAN D,TVK,TVK,74808,36.7,PREMKUMAR S D,BJP,60297,7.12,
93,Senthamangalam,Central,ST,208476,12,P CHANDRASEKAR,TVK,TVK,68815,33.01,C CHANDRASEKARAN,AIADMK,66160,1.27,
94,Namakkal,Central,GEN,211523,27,DILIP C S,TVK,TVK,79744,37.7,SRIDEVI MOHAN P S,AIADMK,68736,5.2,
95,Paramathi-Velur,Central,GEN,188396,31,SEKAR S,AIADMK,AIADMK,61349,32.56,MOORTHIY K S,DMK,61041,0.16,
96,Tiruchengodu,Central,GEN,190602,23,ARUNRAJ K G,TVK,TVK,79500,41.71,SRMT SEKAR (A) CHANDRASEKAR R,AIADMK,51328,14.78,
97,Kumarapalayam,Central,GEN,204659,21,C.VIJAYALAKSHMI,TVK,TVK,81179,39.67,P.THANGAMANI,AIADMK,73483,3.76,
98,Erode (East),Kongu,GEN,161574,20,M.VIJAY BALAJI,TVK,TVK,69747,43.17,GOPINATH PALANIYAPPAN,INC,45781,14.83,
99,Erode (West),Kongu,GEN,220143,13,ANANTH MOGHAN K.K.,TVK,TVK,96836,43.99,S. MUTHUSAMY,DMK,74586,10.11,
100,Modakkurichi,Kongu,GEN,189834,14,D.SHANMUGAN,TVK,TVK,60715,31.98,S.KIRTHIKA,BJP,58285,1.28,
101,Dharapuram,Kongu,SC,198886,9,SATHYABAMA.P,AIADMK,AIADMK,81100,40.78,INDIRANI.T,DMK,64373,8.41,
102,Kangayam,Kongu,GEN,202828,15,NSN NATARAJ,AIADMK,AIADMK,71122,35.07,MANI GOUNDER,TVK,62989,4.01,
103,Perundurai,Kongu,GEN,199874,13,JAYAKUMAR. S,AIADMK,AIADMK,70302,35.17,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,DMK,60609,4.85,
104,Bhavani,Kongu,GEN,206914,14,KARUPPANAN. K.C,AIADMK,AIADMK,75577,36.53,BALAKRISHNAN,TVK,68181,3.57,
105,Anthiyur,Kongu,GEN,185021,14,HARIBASKAR.P,AIADMK,AIADMK,60042,32.45,SIVABALAN.M,DMK,58782,0.68,
106,Gobichettipalayam,Kongu,GEN,218820,18,SENGOTTAIYAN.K.A,TVK,TVK,82612,37.75,NALLASIVAM.N,DMK,65992,7.6,
107,Bhavanisagar,Kongu,SC,212791,12,V.P.TAMILSELVI,TVK,TVK,72391,34.02,A.BANNARI,AIADMK,67822,2.15,
108,Udhagamandalam,Kongu,GEN,147179,6,BHOJARAJAN.M,BJP,BJP,48488,32.94,IBRAHIM.R,TVK,47512,0.66,
109,Gudalur,Kongu,SC,150370,6,DHRAVIDAMANI.M,DMK,DMK,65590,43.62,PON.JAYASEELAN,AIADMK,42757,15.18,
110,Coonoor,Kongu,GEN,140674,6,M. RAJU,DMK,DMK,50470,35.88,A. RAMU,AIADMK,42371,5.76,
111,Mettuppalayam,Kongu,GEN,243480,22,SUNILANAND,TVK,TVK,75664,31.08,SMT.KAVITHA KALYANASUNDARAM,DMK,67896,3.19,
112,Avanashi,Kongu,SC,230037,14,KAMALI.S,TVK,TVK,84209,36.61,DR. L. MURUGAN,BJP,68836,6.68,
113,Tiruppur (North),Kongu,GEN,262379,15,V.SATHYABAMA,TVK,TVK,131401,50.08,M.S.M.ANANDAN,AIADMK,61409,26.68,
114,Tiruppur (South),Kongu,GEN,179170,24,BALAMURUGAN. S,TVK,TVK,73793,41.19,DINESHKUMAR. N,DMK,60892,7.2,
115,Palladam,Kongu,GEN,299597,15,K.RAMKUMAR,TVK,TVK,121297,40.49,K.P.PARAMASIVAM,AIADMK,83400,12.65,
116,Sulur,Kongu,GEN,272191,15,NM.SUKUMAR,TVK,TVK,90531,33.26,V.P.KANDASAMY,AIADMK,85741,1.76,
117,Kavundampalayam,Kongu,GEN,361875,14,KANIMOZHI SANTHOSH,TVK,TVK,146466,40.47,ARUNKUMAR PRG,AIADMK,104326,11.64,
118,Coimbatore (North),Kongu,GEN,225089,28,V. SAMPATHKUMAR,TVK,TVK,92500,41.09,DURAI. SENTHAMIL SELVAN B.E,DMK,70508,9.77,
119,Thondamuthur,Kongu,GEN,257549,21,S.P.VELUMANI,AIADMK,AIADMK,93316,36.23,SATHISH RAJU (ALIAS) K.P.R. SATHISH,TVK,78591,5.72,
120,Coimbatore (South),Kongu,GEN,155740,31,V SENTHILBALAJI,DMK,DMK,59724,38.35,V. SENTHILKUMAR,TVK,57453,1.46,
121,Singanallur,Kongu,GEN,219687,28,K.S.SRI GIRI PRASATH,TVK,TVK,84163,38.31,V.SRINIDHI,INC,65024,8.71,
122,Kinathukadavu,Kongu,GEN,266200,5,VIGNESH K,TVK,TVK,99950,37.55,SABARI KARTHIKEYAN K.V.K.S,DMK,88240,4.4,
123,Pollachi,Kongu,GEN,180347,13,K. NITHYANANDHAN,DMK,DMK,62013,34.39,POLLACHI V. JAYARAMAN,AIADMK,57386,2.57,
124,Valparai,Kongu,SC,149756,6,KUTTY (ALIAS) SUDHAKAR. A,DMK,DMK,54671,36.51,DR. SRIDHARAN. A,TVK,45300,6.26,
125,Udumalaipettai,Kongu,GEN,202426,11,JAYAKUMAR M.,DMK,DMK,68549,33.86,RADHAKRISHNAN K.,AIADMK,65667,1.42,
126,Madathukulam,Kongu,GEN,187338,13,R JAYARAMAKRISHNAN,DMK,DMK,70458,37.61,C SHANMUGAVELU,AMMK,54490,8.52,
127,Palani,South,GEN,207869,15,RAVIMANOHARAN. K,AIADMK,AIADMK,66986,32.23,DR. PRAVEEN KUMAR. M,TVK,66293,0.33,
128,Oddanchatram,South,GEN,200133,14,SAKKARAPANI. R,DMK,DMK,93099,46.52,VIDIYAL S. SEKAR,BJP,49850,21.61,
129,Athoor,South,GEN,236371,15,I. PERIASAMY,DMK,DMK,106240,44.95,N. KALAISELVI,TVK,83872,9.46,
130,Nilakkottai,South,SC,196951,15,AYYANAR.R,TVK,TVK,68580,34.82,NAGAJOTHI.S,DMK,65655,1.49,
131,Natham,South,GEN,238544,21,NATHAM VISWANATHAN R,AIADMK,AIADMK,85708,35.93,SELVAKUMAR K,DMK,73839,4.98,
132,Dindigul,South,GEN,211191,20,SENTHILKUMAR. I.P,DMK,DMK,74489,35.27,NAZEER RAJA. G,TVK,73358,0.54,
133,Vedasandur,South,GEN,226080,15,SAMINATHAN. T,DMK,DMK,84948,37.57,PARAMASIVAM. V.P.B.,AIADMK,74885,4.45,
134,Aravakurichi,Kongu,GEN,180441,30,ELANGO. R,DMK,DMK,70827,39.25,KARTHIKEYAN. P,TVK,51445,10.74,
135,Karur,Kongu,GEN,216290,79,M.R. VIJAYABHASKAR,AIADMK,AIADMK,71542,33.08,MATHIYALAGAN  V.P,TVK,69721,0.84,
136,Krishnarayapuram,Kongu,SC,188832,28,SATHYA. M,TVK,TVK,62378,33.03,DR. DHIVYA. S,AIADMK,58875,1.86,
137,Kulithalai,Kongu,GEN,208479,29,SURIYANUR. A. CHANDRAN,DMK,DMK,68138,32.68,G.BALASUBRAMANI,TVK,67559,0.28,
138,Manapparai,Delta,GEN,240267,18,R. KATHIRAVAN,TVK,TVK,83041,34.56,DR. PL. VIJAYAKUMAR,AIADMK,81615,0.59,
139,Srirangam,Delta,GEN,254056,21,RAMESH,TVK,TVK,103235,40.63,S. DURAIRAJ,DMK,69645,13.22,
140,Tiruchirappalli (West),Delta,GEN,195249,14,K.N.NEHRU,DMK,DMK,88235,45.19,G.RAMAMOORTHI,TVK,83449,2.45,
141,Tiruchirappalli (East),Delta,GEN,181979,20,C. JOSEPH VIJAY,TVK,TVK,91381,50.22,S. INIGO IRUDAYARAJ,DMK,63965,15.07,
142,Thiruverumbur,Delta,GEN,212838,26,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,TVK,TVK,89837,42.21,ANBIL MAHESH POYYAMOZHI,DMK,81132,4.09,
143,Lalgudi,Delta,GEN,184823,24,LEEMAROSE MARTIN,AIADMK,AIADMK,60795,32.89,KU PA KRISHNAN,TVK,58056,1.48,
144,Manachanallur,Delta,GEN,209181,22,KATHIRAVAN. S,DMK,DMK,81447,38.94,V.SARAVANAN,TVK,69083,5.91,
145,Musiri,Delta,GEN,188048,11,M.VIGNESH,TVK,TVK,71281,37.91,N.S.KARUNAIRAAJA,DMK,53839,9.28,
146,Thuraiyur,Delta,SC,183729,15,RAVISANKAR.M,TVK,TVK,66263,36.07,E.SAROJA,AIADMK,56649,5.23,
147,Perambalur,Central,SC,252494,11,SIVAKUMAR. K,TVK,TVK,90882,35.99,DR. JAYALAKSHMI. S.T,DMK,76489,5.7,
148,Kunnam,Central,GEN,230086,19,SIVASANKAR. S.S,DMK,DMK,87237,37.91,SARANYA. A,AIADMK,71680,6.76,
149,Ariyalur,Central,GEN,235217,15,RAJENDRAN S,AIADMK,AIADMK,95219,40.48,LATHA BALU,DMK,70721,10.42,
150,Jayankondam,Central,GEN,228132,19,VAITHILINGAM G.,PMK,PMK,88992,39.01,KANNAN KA.SO.KA.,DMK,70502,8.1,
151,Tittakudi,Central,SC,175170,14,GANESAN C.V,DMK,DMK,63106,36.03,RAJASEKAR A,TVK,60477,1.5,
152,Vriddhachalam,Central,GEN,208431,18,PREMALLATHA VIJAYAKANT,DMDK,DMDK,69351,33.27,VIJAY.S,TVK,66964,1.15,
153,Neyveli,Central,GEN,168012,11,RAJENDRAN.R,AIADMK,AIADMK,63731,37.93,SABA.RAJENDRAN,DMK,52769,6.52,
154,Panruti,Central,GEN,209860,9,MOHAN. K,AIADMK,AIADMK,78398,37.36,ABDUR RAHMAN. A.R,VCK,67735,5.08,
155,Cuddalore,Central,GEN,189484,15,B.RAJKUMAR,TVK,TVK,70856,37.39,A.S.CHANDARASEKARAN,INC,55337,8.19,
156,Kurinjipadi,Central,GEN,213336,11,M.R.K.PANNEERSELVAM,DMK,DMK,76695,35.95,A  BHUVANENTHIRAN,AIADMK,69106,3.56,
157,Bhuvanagiri,Central,GEN,206629,13,ARUNMOZHITHEVAN . A,AIADMK,AIADMK,75707,36.64,SARAVANAN. DURAI . K,DMK,73220,1.2,
158,Chidambaram,Central,GEN,195770,11,THAMIMUN ANSARI. M,DMK,DMK,69739,35.62,PANDIAN. K.A,AIADMK,63992,2.94,
159,Kattumannarkoil,Central,SC,187440,11,L.E. JOTHIMANI,VCK,VCK,85179,45.44,A. SOZHAN,PMK,52116,17.64,
160,Sirkazhi,Delta,SC,199893,10,SENTHILSELVAN.R,DMK,DMK,71449,35.74,SAKTHI.M,AIADMK,60032,5.71,
161,Mayiladuthurai,Delta,GEN,187987,20,JAMAL MOHAMED YOUNOOS. Y.N,INC,INC,68011,36.18,PALANISAMY. A   M.COM.,PMK,57166,5.77,
162,Poompuhar,Delta,GEN,218738,13,NIVEDHA M MURUGAN,DMK,DMK,81096,37.07,PAVUNRAJ. S,AIADMK,72836,3.78,
163,Nagapattinam,Delta,GEN,150847,13,M.H.JAWAHIRULLAH,DMK,DMK,56305,37.33,M.SUGUMAR,TVK,46524,6.48,
164,Kilvelur,Delta,SC,151092,7,LATHA. T,CPI(M),CPI(M),56108,37.13,SENTHIL PANDIAN. P,TVK,53830,1.51,
165,Vedaranyam,Delta,GEN,161653,11,MANIAN. O.S,AIADMK,AIADMK,59172,36.6,PUGAZHENDI. M,DMK,51841,4.54,
166,Thiruthuraipoondi,Delta,SC,190233,9,MARIMUTHU.K,CPI,CPI,74062,38.93,PANDIYAN.S,TVK,61140,6.79,
167,Mannargudi,Delta,GEN,193695,15,KAMARAJ. S,AMMK,AMMK,68416,35.32,RAJAA.T.R.B,DMK,66850,0.81,
168,Thiruvarur,Delta,GEN,217050,8,KALAIVANAN POONDI  K,DMK,DMK,93408,43.04,VEERAMANI V,TVK,75260,8.36,
169,Nannilam,Delta,GEN,230508,14,KAMARAJ. R,AIADMK,AIADMK,103462,44.88,MOHAMED MUBARAK,DMK,61738,18.1,
170,Thiruvidaimarudur,Delta,SC,208197,14,GOVI.CHEZHIAAN,DMK,DMK,79951,38.4,S.PRABAKARAN,TVK,65835,6.78,
171,Kumbakonam,Delta,GEN,207328,13,VINOTH,TVK,TVK,78650,37.94,ANBALAGAN G,DMK,77971,0.33,
172,Papanasam,Delta,GEN,207007,13,A.M. SHAHJAHAN,IUML,IUML,69284,33.47,AZARUDEEN UDUMAN ALI,TVK,68219,0.51,
173,Thiruvaiyaru,Delta,GEN,221163,13,DURAI. CHANDRASEKARAN,DMK,DMK,80425,36.36,MATHI. MANIKANDAN,TVK,71870,3.87,
174,Thanjavur,Delta,GEN,197524,11,R. VIJAYSARAVANAN,TVK,TVK,87705,44.4,SHAN. RAMANATHAN,DMK,70750,8.58,
175,Orathanadu,Delta,GEN,194673,9,R. VAITHILINGAM,DMK,DMK,86759,44.57,DR. K. ARVIND,TVK,51731,17.99,
176,Pattukkottai,Delta,GEN,183007,11,ANNADURAI K,DMK,DMK,65963,36.04,MATHAN C,TVK,52209,7.52,
177,Peravurani,Delta,GEN,175579,10,ASHOKKUMAR. N,DMK,DMK,60919,34.7,GOVI.ELANGO,AIADMK,57757,1.8,
178,Gandharvakottai,Delta,SC,166491,10,N. SUBRAMANIAN,TVK,TVK,58795,35.31,C. UTHAYAKUMAR,BJP,47756,6.63,
179,Viralimalai,Delta,GEN,203546,26,VIJAYABASKAR. C,AIADMK,AIADMK,105773,51.97,MURUGESAN. P,TVK,43700,30.5,
180,Pudukkottai,Delta,GEN,189911,30,V. MUTHURAJA,DMK,DMK,66825,35.19,K.M. SHARIFF,TVK,64958,0.98,
181,Thirumayam,Delta,GEN,181667,14,REGUPATHY.S,DMK,DMK,58201,32.04,CHINTHAMANI.C,TVK,56709,0.82,
182,Alangudi,Delta,GEN,179810,14,SIVA.V.MEYYANATHAN,DMK,DMK,64929,36.11,KANDASAMY,TVK,51952,7.22,
