ac_number,constituency,region,reserved,valid_votes,n_candidates,winner,winner_party,winner_party_norm,winner_votes,winner_share_pct,runner_up,runner_up_party_norm,runner_up_votes,margin_pct,turnout_pct
1,Gummidipoondi,Chennai Metro,GEN,231585,15,S.VIJAYAKUMAR,TVK,TVK,94320,40.73,SUDHAKAR.V,AIADMK,66375,12.07,
2,Ponneri,Chennai Metro,SC,225954,13,DR.RAVI.M.S,TVK,TVK,110439,48.88,DURAI CHANDRASEKAR,INC,54671,24.68,
3,Tiruttani,Chennai Metro,GEN,237588,13,G.HARI,AIADMK,AIADMK,89169,37.53,M.SATHYA KUMAR,TVK,83376,2.44,
4,Thiruvallur,Chennai Metro,GEN,225296,14,DR. T. ARUNKUMAR,TVK,TVK,92190,40.92,V.G. RAAJENDRAN,DMK,67430,10.99,
5,Poonamallee,Chennai Metro,SC,307323,11,PRAKASAM.R,TVK,TVK,161309,52.49,KRISHNASWAMY.A,DMK,88569,23.67,
6,Avadi,Chennai Metro,GEN,344472,20,R.RAMESH KUMAR,TVK,TVK,180384,52.37,S.M.NASAR,DMK,104073,22.15,
7,Maduravoyal,Chennai Metro,GEN,292230,21,RHEVANTH CHARAN,TVK,TVK,141725,48.5,GANAPATHY. K,DMK,80216,21.05,
8,Ambattur,Chennai Metro,GEN,258496,23,BALAMURUGAN.G,TVK,TVK,133339,51.58,DR A.P. POORNIMA,DMK,74558,22.74,
9,Madavaram,Chennai Metro,GEN,360604,15,M.L.VIJAYPRABHU,TVK,TVK,190462,52.82,S.SUDHARSANAM,DMK,95477,26.34,
10,Thiruvottiyur,Chennai Metro,GEN,206283,15,SENTHIL KUMAR. N,TVK,TVK,110067,53.36,SUNDARARAJ. L,CPI(M),56503,25.97,
11,Dr.Radhakrishnan Nagar,Chennai Metro,GEN,180645,38,N. MARIE WILSON,TVK,TVK,97800,54.14,J. JOHN EBENEZER,DMK,48132,27.49,
12,Perambur,Chennai Metro,GEN,203783,47,C. JOSEPH VIJAY,TVK,TVK,120365,59.07,R.D. SHEKAR,DMK,66650,26.36,
13,Kolathur,Chennai Metro,GEN,183159,35,V. S. BABU,TVK,TVK,82997,45.31,M. K. STALIN,DMK,74202,4.8,
14,Villivakkam,Chennai Metro,GEN,140757,28,AADHAV ARJUNA,TVK,TVK,66445,47.21,KARTHIK MOHAN,DMK,49143,12.29,
15,Thiru-Vi-Ka-Nagar,Chennai Metro,SC,143376,23,M. R. PALLAVI,TVK,TVK,69125,48.21,K. S. RAVICHANDRAN,DMK,46792,15.58,
16,Egmore,Chennai Metro,SC,119043,18,RAJMOHAN,TVK,TVK,53901,45.28,TAMILAN PRASANNA,DMK,43097,9.08,
17,Royapuram,Chennai Metro,GEN,126897,28,K.V. VIJAY DAMU,TVK,TVK,59091,46.57,DR. A. SUBAIR KHAN,DMK,44842,11.23,
18,Harbour,Chennai Metro,GEN,99022,23,P K SEKARBABU,DMK,DMK,45254,45.7,SINORA P S ASHOK,TVK,33504,11.87,
19,Chepauk-Thiruvallikeni,Chennai Metro,GEN,140098,26,UDHAYANIDHI STALIN,DMK,DMK,62992,44.96,SELVAM. D,TVK,55852,5.1,
20,Thousand Lights,Chennai Metro,GEN,131009,18,PRABHAKAR.J.C.D,TVK,TVK,58965,45.01,EZHILAN NAGANATHAN,DMK,43824,11.56,
21,Anna Nagar,Chennai Metro,GEN,162376,24,V.K.RAMKUMAR,TVK,TVK,71375,43.96,N.CHITRARASU,DMK,50012,13.16,
22,Virugampakkam,Chennai Metro,GEN,171801,24,SABARINATHAN.R,TVK,TVK,76092,44.29,PRABHAKARA RAJA.A.M.V,DMK,49006,15.77,
23,Saidapet,Chennai Metro,GEN,159477,15,ARUL PRAKASAM. M,TVK,TVK,81205,50.92,SUBRAMANIAN. MA,DMK,52691,17.88,
24,Thiyagarayanagar,Chennai Metro,GEN,133050,26,ANAND N,TVK,TVK,51632,38.81,SATHIYANARAYANAN B,AIADMK,38605,9.79,
25,Mylapore,Chennai Metro,GEN,149824,19,VENKATARAMANAN. P,TVK,TVK,70070,46.77,VELU. DHA,DMK,41098,19.34,
26,Velachery,Chennai Metro,GEN,183479,27,KUMAR. R,TVK,TVK,80430,43.84,ASHOK. M.K,AIADMK,47125,18.15,
27,Shozhinganallur,Chennai Metro,GEN,445216,27,ECR P SARAVANAN,TVK,TVK,220382,49.5,S. ARAVIND RAMESH,DMK,123602,21.74,
28,Alandur,Chennai Metro,GEN,260307,23,M.HARISH,TVK,TVK,112205,43.1,T.M.ANBARASAN,DMK,82596,11.37,
29,Sriperumbudur,Chennai Metro,SC,329927,13,THENNARASU.K,TVK,TVK,147611,44.74,K. SELVAPERUNTHAGAI,INC,93365,16.44,
30,Pallavaram,Chennai Metro,GEN,282075,23,J.KAMATCHI,TVK,TVK,133611,47.37,D.MURUGESAN,DMDK,78918,19.39,
31,Tambaram,Chennai Metro,GEN,277297,15,D.SARATHKUMAR,TVK,TVK,118967,42.9,R.S.KIRUTHIKA DEVI,DMK,83346,12.85,
32,Chengalpattu,Chennai Metro,GEN,322615,15,S. THIYAGARAJAN,TVK,TVK,137136,42.51,KARTHIKDHANDAPANI,DMK,101495,11.05,
33,Thiruporur,North,GEN,261161,11,B.VIJAYARAJ,TVK,TVK,110095,42.16,R. PANNEERDOSS,VCK,70744,15.07,
34,Cheyyur,North,SC,186801,13,RAJASEKAR. E,AIADMK,AIADMK,63809,34.16,MOHAN RAJA.M.G.K,TVK,58141,3.03,
35,Madurantakam,North,SC,197454,9,MARAGATHAM KUMARAVEL.K,AIADMK,AIADMK,69284,35.09,EZHIL KATHARINE EZHILMALAI,TVK,62090,3.64,
36,Uthiramerur,North,GEN,226651,14,MUNIRATHINAM.J,TVK,TVK,84917,37.47,SUNDAR.K,DMK,70694,6.28,
37,Kancheepuram,North,GEN,245239,15,R.V. RANJITHKUMAR,TVK,TVK,91350,37.25,V. SOMASUNDARAM,AIADMK,75862,6.32,
38,Arakkonam,North,SC,181441,13,V. GANDHIRAJ,TVK,TVK,73776,40.66,EZHIL CAROLINE,VCK,50655,12.74,
39,Sholingur,North,GEN,233112,23,G.KAPIL,TVK,TVK,84506,36.25,K.SARAVANAN,PMK,78820,2.44,
40,Katpadi,North,GEN,202752,15,DR M SUDHAKAR,TVK,TVK,69868,34.46,V. RAMU,AIADMK,63998,2.9,
41,Ranipet,North,GEN,219829,15,THAHIRA,TVK,TVK,91149,41.46,R. GANDHI,DMK,85362,2.63,
42,Arcot,North,GEN,225130,14,S.M.SUKUMAR,AIADMK,AIADMK,105608,46.91,G.VIJAY MOHAN,TVK,62888,18.98,
43,Vellore,North,GEN,189770,15,M.M.VINOTH KANNAN,TVK,TVK,73032,38.48,P.KARTHIKEYAN,DMK,66255,3.57,
44,Anaikattu,North,GEN,215215,13,D.VELAZHAGAN,AIADMK,AIADMK,76302,35.45,A.P.NANDAKUMAR,DMK,69221,3.29,
45,Kilvaithinankuppam,North,SC,188920,11,THENRAL KUMAR. E,TVK,TVK,74305,39.33,JEGAN MOORTHY. M,AIADMK,54050,10.72,
46,Gudiyattam,North,SC,228277,11,K.SINDU,TVK,TVK,82858,36.3,K.B.PRADAP,DMDK,72761,4.42,
47,Vaniyambadi,North,GEN,211910,15,SYED FAROOQ BASHA SSB,IUML,IUML,73181,34.53,SYED BHURHANUDEEN,TVK,70199,1.41,
48,Ambur,North,GEN,195116,16,VILWANATHAN. A.C.,DMK,DMK,74102,37.98,IMTHIYAZ PANDARATTUDU ABDU,TVK,66971,3.65,
49,Jolarpet,North,GEN,212347,19,VEERAMANI K.C.,AIADMK,AIADMK,78633,37.03,MUNISAMY C,TVK,62550,7.57,
50,Tiruppattur,North,GEN,202461,24,DR.THIRUPATHI. N,TVK,TVK,105098,51.91,NALLATHAMBI. A,DMK,56835,23.84,
51,Uthangarai,North,SC,204649,13,N ELAIYARAJA,TVK,TVK,70201,34.3,T M  TAMILSELVAM,AIADMK,65003,2.54,
52,Bargur,North,GEN,213329,15,E.C. GOVINDARASAN,AIADMK,AIADMK,71240,33.39,E. MURALIDHARAN,TVK,66999,1.99,
