ac_number,top2_share_pct,top3_share_pct,race_type
145,66.54,94.22,Multi-cornered (<70%)
146,66.9,93.69,Multi-cornered (<70%)
147,66.29,95.09,Multi-cornered (<70%)
148,69.07,94.78,Multi-cornered (<70%)
149,70.55,94.93,Three-way (70–85%)
150,69.91,94.26,Multi-cornered (<70%)
151,70.55,94.81,Three-way (70–85%)
152,65.4,94.09,Multi-cornered (<70%)
153,69.34,89.75,Multi-cornered (<70%)
154,69.63,96.33,Multi-cornered (<70%)
155,66.6,95.76,Multi-cornered (<70%)
156,68.34,93.24,Multi-cornered (<70%)
157,72.07,96.23,Three-way (70–85%)
158,68.31,96.19,Multi-cornered (<70%)
159,73.25,96.27,Three-way (70–85%)
160,65.78,95.37,Multi-cornered (<70%)
161,66.59,94.54,Multi-cornered (<70%)
162,70.37,95.93,Three-way (70–85%)
163,68.17,95.74,Multi-cornered (<70%)
164,72.76,93.73,Three-way (70–85%)
165,68.67,92.4,Multi-cornered (<70%)
166,71.07,93.71,Three-way (70–85%)
167,69.83,92.69,Multi-cornered (<70%)
168,77.71,94.47,Three-way (70–85%)
169,71.67,95.32,Three-way (70–85%)
170,70.02,95.44,Three-way (70–85%)
171,75.54,94.89,Three-way (70–85%)
172,66.42,93.99,Multi-cornered (<70%)
173,68.86,93.78,Multi-cornered (<70%)
174,80.22,93.78,Three-way (70–85%)
175,71.14,93.88,Three-way (70–85%)
176,64.57,91.66,Multi-cornered (<70%)
177,67.59,93.55,Multi-cornered (<70%)
178,64.0,92.07,Multi-cornered (<70%)
179,73.43,93.28,Three-way (70–85%)
180,69.39,91.03,Multi-cornered (<70%)
181,63.25,93.78,Multi-cornered (<70%)
182,65.0,92.84,Multi-cornered (<70%)
183,74.9,92.17,Three-way (70–85%)
184,68.48,83.06,Multi-cornered (<70%)
185,77.57,91.09,Three-way (70–85%)
186,62.15,89.05,Multi-cornered (<70%)
187,66.76,87.27,Multi-cornered (<70%)
188,61.75,91.59,Multi-cornered (<70%)
189,81.74,93.21,Three-way (70–85%)
190,66.38,92.64,Multi-cornered (<70%)
191,79.27,94.79,Three-way (70–85%)
192,73.32,95.39,Three-way (70–85%)
193,72.8,95.48,Three-way (70–85%)
194,76.36,94.44,Three-way (70–85%)
195,73.56,93.17,Three-way (70–85%)
196,66.41,92.85,Multi-cornered (<70%)
197,58.06,84.68,Multi-cornered (<70%)
198,64.31,93.59,Multi-cornered (<70%)
199,72.48,93.71,Three-way (70–85%)
200,74.47,93.26,Three-way (70–85%)
201,81.01,94.01,Three-way (70–85%)
202,66.11,86.03,Multi-cornered (<70%)
203,63.72,85.96,Multi-cornered (<70%)
204,59.58,86.57,Multi-cornered (<70%)
205,65.3,91.82,Multi-cornered (<70%)
206,70.66,91.16,Three-way (70–85%)
207,70.48,91.41,Three-way (70–85%)
208,75.59,89.74,Three-way (70–85%)
209,60.71,89.33,Multi-cornered (<70%)
210,62.11,91.15,Multi-cornered (<70%)
211,70.08,94.47,Three-way (70–85%)
212,51.7,72.27,Multi-cornered (<70%)
213,62.33,90.39,Multi-cornered (<70%)
214,80.12,92.98,Three-way (70–85%)
215,75.31,93.74,Three-way (70–85%)
216,66.22,89.69,Multi-cornered (<70%)
217,68.72,81.97,Multi-cornered (<70%)
218,63.23,90.61,Multi-cornered (<70%)
219,62.9,84.63,Multi-cornered (<70%)
220,63.18,87.42,Multi-cornered (<70%)
221,69.28,91.53,Multi-cornered (<70%)
222,63.63,87.34,Multi-cornered (<70%)
223,59.37,86.97,Multi-cornered (<70%)
224,64.43,86.25,Multi-cornered (<70%)
225,63.6,91.8,Multi-cornered (<70%)
226,81.04,92.02,Three-way (70–85%)
227,63.96,82.32,Multi-cornered (<70%)
228,63.96,90.35,Multi-cornered (<70%)
229,62.89,93.51,Multi-cornered (<70%)
230,67.5,94.24,Multi-cornered (<70%)
231,65.3,92.71,Multi-cornered (<70%)
232,67.97,92.59,Multi-cornered (<70%)
233,69.24,95.43,Multi-cornered (<70%)
234,74.31,91.86,Three-way (70–85%)
