party_norm,votes,vote_share_pct
TVK,17226209,35.07
DMK,11929144,24.28
AIADMK,10600115,21.58
NTK,1972537,4.02
INC,1661742,3.38
BJP,1467024,2.99
PMK,1070745,2.18
DMDK,589500,1.2
VCK,540056,1.1
IND,524744,1.07
AMMK,425345,0.87
CPI,326488,0.66
CPI(M),298590,0.61
OTH,201883,0.41
IUML,142465,0.29
PT,93652,0.19
BSP,53369,0.11
SAMATAPART,712,0.0
