ac_number,constituency,region,reserved,valid_votes,n_candidates,winner,winner_party,winner_party_norm,winner_votes,winner_share_pct,runner_up,runner_up_party_norm,runner_up_votes,margin_pct,turnout_pct
83,Yercaud,Central,ST,236945,13,G. Chitra,AIADMK,AIADMK,121561,51.3,C. TAMILSELVAN,DMK,95606,10.95,83.09
84,Omalur,Central,GEN,247427,15,R.MANI,AIADMK,AIADMK,142488,57.59,RANGARAJAN MOHAN KUMARAMANGALAM,INC,87194,22.35,83.28
85,Mettur,Central,GEN,216195,14,SADHASIVAM.S,PMK,PMK,97055,44.89,SRINIVASAPERUMAL.S,DMK,96399,0.3,75.01
86,Edapadi,Central,GEN,246192,28,EDAPPADI PALANISWAMI. K,AIADMK,AIADMK,163154,66.27,SAMBATHKUMAR. T,DMK,69352,38.1,85.64
87,Sankari,Central,GEN,230778,23,"SUNDARARAJAN, S.",AIADMK,AIADMK,115472,50.04,"RAJESH, K.M.",DMK,95427,8.69,83.71
88,Salem (West),Central,GEN,214945,28,ARUL. R,PMK,PMK,105483,49.07,RAJENDRAN. A,DMK,83984,10.0,71.81
89,Salem (North),Central,GEN,200837,20,R. RAJENDRAN,DMK,DMK,93432,46.52,G.VENKATACHALAM,AIADMK,85844,3.78,72.14
90,Salem (South),Central,GEN,198122,24,E.BALASUBRAMANIAN,AIADMK,AIADMK,97506,49.22,A.S.SARAVANAN,DMK,74897,11.41,76.0
91,Veerapandi,Central,GEN,222293,20,"RAJAMUTHU, M.",AIADMK,AIADMK,111682,50.24,"THARUN, A.K.",DMK,91787,8.95,85.64
92,Rasipuram,Central,SC,194794,15,MATHIVENTHAN M,DMK,DMK,90727,46.58,SAROJA V. Dr,AIADMK,88775,1.0,82.05
93,Sendamangalam,Central,ST,197177,15,PONNUSAMY K,DMK,DMK,90681,45.99,CHANDRAN S,AIADMK,80188,5.32,80.93
94,Namakkal,Central,GEN,205474,26,RAMALINGAM P,DMK,DMK,106494,51.83,BASKAR K.P.P.,AIADMK,78633,13.56,78.57
95,Paramathi-Velur,Central,GEN,182733,27,SEKAR S,AIADMK,AIADMK,86034,47.08,MOORTHIY K S,DMK,78372,4.19,81.14
96,Tiruchengode,Central,GEN,183151,28,ESWARAN E R,DMK,DMK,81688,44.6,SARASWATHI PON,AIADMK,78826,1.56,78.71
97,Kumarapalayam,Central,GEN,200583,29,THANGAMANI.P,AIADMK,AIADMK,100800,50.25,M.VENKATACHALAM,DMK,69154,15.78,78.85
98,Erode (East),Kongu,GEN,150491,14,"THIRUMAHAN EVERAA,E.",INC,INC,67300,44.72,"YUVARAJA,M.",AIADMK,58396,5.92,66.24
99,Erode (West),Kongu,GEN,203611,15,Muthusamy S,DMK,DMK,100757,49.49,Ramalingam K V,AIADMK,78668,10.85,69.36
100,Modakurichi,Kongu,GEN,179515,15,SARASWATHI.C,BJP,BJP,78125,43.52,SUBBULAKSHMI JEGADEESAN,DMK,77844,0.16,75.26
101,Dharapuram,Kongu,SC,192088,14,KAYALVIZHI N,DMK,DMK,89986,46.85,MURUGAN L,BJP,88593,0.73,74.15
102,Kangayam,Kongu,GEN,198791,26,SAMINATHAN.M.P,DMK,DMK,94197,47.38,RAMALINGAM.A.S,AIADMK,86866,3.69,77.19
103,Perundurai,Kongu,GEN,188654,25,"JAYAKUMAR, S.",AIADMK,AIADMK,85125,45.12,KKC BALU,DMK,70618,7.69,82.6
104,Bhavani,Kongu,GEN,199306,14,KARUPPANAN.K.C,AIADMK,AIADMK,100915,50.63,DURAIRAJ.K.P,DMK,78392,11.3,83.5
105,Anthiyur,Kongu,GEN,175358,20,VENKATACHALAM.A.G,DMK,DMK,79096,45.11,SHANMUGAVEL.K.S,AIADMK,77821,0.73,79.69
106,Gobichettipalayam,Kongu,GEN,212974,19,SENGOTTAIYAN K.A,AIADMK,AIADMK,108608,51.0,MANIMARAN G.V,DMK,80045,13.41,82.52
107,Bhavanisagar,Kongu,SC,198562,6,A.Bannari,AIADMK,AIADMK,99181,49.95,P.L SUNDARAM,CPI,83173,8.06,77.37
108,Udhagamandalam,Kongu,GEN,139726,9,"GANESH, R.",INC,INC,65530,46.9,"BHOJARAJAN, M.",BJP,60182,3.83,67.82
109,Gudalur,Kongu,SC,137240,7,PON.JAYASEELAN,AIADMK,AIADMK,64496,47.0,"KASILINGAM, S.",DMK,62551,1.42,72.15
110,Coonoor,Kongu,GEN,134720,10,"Ramachandran, K.",DMK,DMK,61820,45.89,"Vinoth, D.",AIADMK,57715,3.05,69.79
111,Mettupalayam,Kongu,GEN,222350,10,SELVARAJ A K,AIADMK,AIADMK,105231,47.33,SHANMUGASUNDARAM T R,DMK,102775,1.1,75.14
112,Avanashi,Kongu,SC,210255,12,"DHANAPAL, P",AIADMK,AIADMK,117284,55.78,ATHIYAMAAN RAJU,DMK,66382,24.21,75.18
113,Tiruppur (North),Kongu,GEN,235930,15,VIJEYAKUMAR.K.N,AIADMK,AIADMK,113384,48.06,RAVI (Alias) SUBRAMANIAN . M,CPI,73282,17.0,62.44
114,Tiruppur (South),Kongu,GEN,173276,20,SELVARAJ. K.,DMK,DMK,75535,43.59,GUNASEKARAN. S.,AIADMK,70826,2.72,62.74
115,Palladam,Kongu,GEN,259709,20,ANANDAN M S M,AIADMK,AIADMK,126903,48.86,MUTHURATHINAM K,DMK,94212,12.59,66.7
116,Sulur,Kongu,GEN,239043,15,KANDASAMY V.P.,AIADMK,AIADMK,118968,49.77,PREMIER SELVAM (a)KALICHAMY M,DMK,87036,13.36,75.57
117,Kavundampalayam,Kongu,GEN,307026,12,G.Arunkumar,AIADMK,AIADMK,135669,44.19,R.Krishnan,DMK,125893,3.18,66.13
118,Coimbatore North,Kongu,GEN,201098,20,AMMAN K.ARJUNAN,AIADMK,AIADMK,81454,40.5,SHANMUGASUNDARAM V.M,DMK,77453,1.99,59.21
119,Thondamuthur,Kongu,GEN,228896,10,S.P. VELUMANI,AIADMK,AIADMK,124225,54.27,KARTHIKEYA,DMK,82595,18.19,70.22
120,Coimbatore South,Kongu,GEN,153864,21,VANATHI SRINIVASAN,BJP,BJP,53209,34.58,KAMALHAASAN,MNM,51481,1.12,60.69
121,Singanallur,Kongu,GEN,200589,21,"Jayaram, K.R",AIADMK,AIADMK,81244,40.5,"Karthik, N",DMK,70390,5.41,61.73
122,Kinathukadavu,Kongu,GEN,230155,14,Damodaran.S,AIADMK,AIADMK,101537,44.12,Kuruchi Prabhakaran,DMK,100442,0.48,70.64
123,Pollachi,Kongu,GEN,175762,8,Pollachi V. Jayaraman,AIADMK,AIADMK,80567,45.84,"Dr. Varadharajan, K.",DMK,78842,0.98,77.34
124,Valparai,Kongu,SC,143757,6,AMULKANDASAMI T K,AIADMK,AIADMK,71672,49.86,ARUMUGAM M,CPI,59449,8.5,70.04
125,Udumalpet,Kongu,GEN,192880,15,"Radhakrishnan,K.",AIADMK,AIADMK,96893,50.23,"Thennarasu,K.",INC,74998,11.35,71.31
126,Madathukulam,Kongu,GEN,180854,15,C MAHENDRAN,AIADMK,AIADMK,84313,46.62,R.JAYARAMAKRISHNAN,DMK,77875,3.56,72.45
127,Palani,South,GEN,204274,24,SENTHIL KUMAR I.P,DMK,DMK,108566,53.15,RAVI MANOHARAN K,AIADMK,78510,14.71,73.33
128,Oddanchatram,South,GEN,200299,14,SAKKARAPANI R,DMK,DMK,109970,54.9,NATARAJ N.P,AIADMK,81228,14.35,83.08
