ac_number,constituency,region,reserved,valid_votes,n_candidates,winner,winner_party,winner_party_norm,winner_votes,winner_share_pct,runner_up,runner_up_party_norm,runner_up_votes,margin_pct,turnout_pct
211,Ramanathapuram,South,GEN,213345,19,KATHARBATCHA MUTHURAMALINGAM,DMK,DMK,111082,52.07,D.KUPPURAMU,BJP,60603,23.66,68.81
212,Mudukulathur,South,GEN,220690,23,R.S.RAJAKANNAPPAN,DMK,DMK,101901,46.17,KEERTHIKA,AIADMK,81180,9.39,70.29
213,Vilathikulam,South,GEN,166133,15,MARKANDAYAN V,DMK,DMK,90348,54.38,CHINNAPPAN P,AIADMK,51799,23.2,76.52
214,Thoothukkudi,South,GEN,186838,26,P.Geetha Jeevan,DMK,DMK,92314,49.41,SDR Vijayaseelan,AIADMK,42004,26.93,65.07
215,Tiruchendur,South,GEN,173485,15,Anitha R. Radhakrishnan,DMK,DMK,88274,50.88,Radhakrishnan M,AIADMK,63011,14.56,70.04
216,Srivaikuntam,South,GEN,163630,21,Amirtharaj .S,INC,INC,76843,46.96,S.P.SHUNMUGANATHAN,AIADMK,59471,10.62,72.34
217,Ottapidaram,South,SC,176272,17,SHUNMUGAIAH C,DMK,DMK,73110,41.48,MOHAN P,AIADMK,64600,4.83,69.82
218,Kovilpatti,South,GEN,179804,26,KADAMBUR RAJU,AIADMK,AIADMK,68556,38.13,TTV DHINAKARAN,AMMK,56153,6.9,67.43
219,Sankarankovil,South,SC,181381,15,RAJA E,DMK,DMK,71347,39.34,RAJALAKSHMI V M,AIADMK,66050,2.92,71.48
220,Vasudevanallur,South,SC,173710,11,"SADHAN THIRUMALAIKUMAR, DOCTOR.T",DMK,DMK,68730,39.57,MANOHARAN A,AIADMK,66363,1.36,71.87
221,Kadayanallur,South,GEN,204318,21,C.KRISHNAMURALI,AIADMK,AIADMK,88474,43.3,K.A.M.MUHAMMED ABUBACKER,IUML,64125,11.92,70.35
222,Tenkasi,South,GEN,212949,18,PALANI NADAR.S,INC,INC,89315,41.94,SELVA MOHANDAS PANDIAN.S,AIADMK,88945,0.17,72.4
223,Alangulam,South,GEN,201692,10,PAUL MANOJ PANDIAN,AIADMK,AIADMK,74153,36.77,DR.POONGOTHAI ALADI ARUNA,DMK,70614,1.75,77.4
224,Tirunelveli,South,GEN,195496,14,Nainar Nagenthran,BJP,BJP,92282,47.2,"Lakshmanan,A.L.S.",DMK,69175,11.82,66.91
225,Ambasamudram,South,GEN,176008,12,E.SUBAYA,AIADMK,AIADMK,85211,48.41,R.AVUDAIAPPAN,DMK,68296,9.61,72.03
226,Palayamcottai,South,GEN,159444,10,ABDUL WAHAB .M,DMK,DMK,89117,55.89,GERALD .G,AIADMK,36976,32.7,57.76
227,Nanguneri,South,GEN,190985,15,RUBY R MANOHARAN,INC,INC,75902,39.74,GANESARAJA,AIADMK,59416,8.63,68.59
228,Radhapuram,South,GEN,186407,25,M.Appavu,DMK,DMK,82331,44.17,I.S.Inbadurai,AIADMK,76406,3.18,68.08
229,Kanniyakumari,South,GEN,223778,13,THALAVAI SUNDARAM N.,AIADMK,AIADMK,109745,49.04,AUSTIN S.,DMK,93532,7.25,75.19
230,Nagercoil,South,GEN,183255,15,Gandhi M.R.,BJP,BJP,88804,48.46,Suresh Rajan N.,DMK,77135,6.37,67.06
231,Colachel,South,GEN,182091,12,Prince J.G.,INC,INC,90681,49.8,Ramesh P.,BJP,65849,13.64,67.27
232,Padmanabhapuram,South,GEN,169120,12,"Mano Thangaraj, T.",DMK,DMK,87744,51.88,"John Thankam, D.",AIADMK,60859,15.9,70.08
233,Vilavancode,South,GEN,167054,15,VIJAYADHARANI S,INC,INC,87473,52.36,JAYASEELAN R,BJP,58804,17.16,66.83
234,Killiyoor,South,GEN,169164,14,RAJESH KUMAR  S,INC,INC,101541,60.03,JUDE DEV   K.V,AIADMK,46141,32.75,65.87
