region,winner_party_norm,seats
Central,AIADMK,15
Central,DMK,21
Central,INC,1
Central,PMK,3
Central,VCK,1
Chennai Metro,DMK,29
Chennai Metro,INC,3
Delta,AIADMK,4
Delta,CPI,1
Delta,CPI(M),2
Delta,DMK,23
Delta,INC,2
Delta,VCK,1
Kongu,AIADMK,19
Kongu,BJP,2
Kongu,DMK,10
Kongu,INC,2
North,AIADMK,12
North,CPI,1
North,DMK,19
North,INC,1
North,PMK,2
North,VCK,2
South,AIADMK,16
South,BJP,2
South,DMK,31
South,INC,9
